Name,Team,Stat,Line,Versus,Odds_Type,Scraped_At
Jalen Williams,OKC,Fantasy Score,44.0,UTA,Standard,2025-12-08 00:47
Chet Holmgren,OKC,Fantasy Score,40.0,UTA,Standard,2025-12-08 00:47
Jalen Williams,OKC,Pts+Rebs+Asts,35.5,UTA,Standard,2025-12-08 00:47
Keyonte George,UTA,Fantasy Score,34.5,OKC,Standard,2025-12-08 00:47
Ajay Mitchell,OKC,Fantasy Score,33.5,UTA,Standard,2025-12-08 00:47
De'Aaron Fox,SAS,Pts+Rebs+Asts,33.5,NOP,Standard,2025-12-08 00:47
Chet Holmgren,OKC,Pts+Rebs+Asts,31.5,UTA,Standard,2025-12-08 00:47
Trey Murphy,NOP,Pts+Rebs+Asts,31.5,SAS,Standard,2025-12-08 00:47
Keyonte George,UTA,Pts+Rebs+Asts,31.5,OKC,Standard,2025-12-08 00:47
Jalen Williams,OKC,Pts+Asts,29.5,UTA,Standard,2025-12-08 00:47
Jalen Williams,OKC,Pts+Rebs,29.5,UTA,Standard,2025-12-08 00:47
De'Aaron Fox,SAS,Pts+Asts,29.5,NOP,Standard,2025-12-08 00:47
Chet Holmgren,OKC,Pts+Rebs,29.0,UTA,Standard,2025-12-08 00:47
Jusuf Nurkić,UTA,Fantasy Score,28.5,OKC,Standard,2025-12-08 00:47
Keyonte George,UTA,Pts+Asts,28.0,OKC,Standard,2025-12-08 00:47
Kyle Filipowski,UTA,Fantasy Score,28.0,OKC,Standard,2025-12-08 00:47
De'Aaron Fox,SAS,Pts+Rebs,27.5,NOP,Standard,2025-12-08 00:47
Stephon Castle,SAS,Pts+Rebs+Asts,27.5,NOP,Standard,2025-12-08 00:47
Trey Murphy,NOP,Pts+Rebs,27.5,SAS,Standard,2025-12-08 00:47
Ajay Mitchell,OKC,Pts+Rebs+Asts,26.5,UTA,Standard,2025-12-08 00:47
Keyonte George,UTA,Pts+Rebs,26.5,OKC,Standard,2025-12-08 00:47
Saddiq Bey,NOP,Pts+Rebs+Asts,25.5,SAS,Standard,2025-12-08 00:47
Trey Murphy,NOP,Pts+Asts,25.5,SAS,Standard,2025-12-08 00:47
Aaron Wiggins,OKC,Fantasy Score,25.5,UTA,Standard,2025-12-08 00:47
Cason Wallace,OKC,Fantasy Score,25.0,UTA,Standard,2025-12-08 00:47
Jaylin Williams,OKC,Fantasy Score,24.5,UTA,Standard,2025-12-08 00:47
